merchant_name,total_sold_sum,n_product,merchant_price_min,merchant_price_max,merchant_price_avg,avg_revenue,market_share
24HoursShop,6540,16,60000,275000,172187.5,1126106250.0,5.26
DBR Premium,7082,10,59900,299900,133900.0,948279800.0,4.43
gudanggadget14,7971,129,55000,239000,108383.72093023256,863926639.5348837,4.03
ORIGINALproducts JAKARTA,4561,23,75000,295000,181630.4347826087,828416413.0434783,3.87
KINGBAG OFFICIAL STORE,4555,15,75000,265000,150200.0,684161000.0,3.19
Ugreen Official by Unicase,4250,3,160000,160000,160000.0,680000000.0,3.17
Movio Official Store,7825,8,55000,129000,82112.5,642530312.5,3.0
Fieri Official,4500,4,119000,169000,141500.0,636750000.0,2.97
aroe.id,2714,11,205000,205000,205000.0,556370000.0,2.6
bakul laptop bag,4654,143,59000,465000,119059.44055944055,554102636.3636364,2.59
LoCell Indonesia,4717,24,50000,229000,104333.33333333331,492140333.3333333,2.3
RARUBY HOME OFFICIAL,3625,6,99000,160000,126000.0,456750000.0,2.13
UGREEN Official Store,3000,3,129000,159000,149000.0,447000000.0,2.09
GADVENTIA Official Store,2998,12,99000,160000,130000.0,389740000.0,1.82
Allforgadget,908,5,165000,480000,385000.0,349580000.0,1.63
Copper Indonesia,1255,3,251900,289900,264566.6666666667,332031166.6666667,1.55
Heylook Official,5100,4,60000,66930,64715.0,330046500.0,1.54
Reju Shop,3249,92,55000,145000,101141.30434782608,328608097.82608694,1.53
TokoCasingCover,1954,163,96000,314000,162002.45398773006,316552795.0920245,1.48
iShop Here,2000,4,99000,179000,156500.0,313000000.0,1.46
GADZILA OFFICIAL STORE,2428,8,99000,160000,120500.0,292574000.0,1.37
unomax,855,9,185000,460000,328888.8888888889,281200000.0,1.31
Hello case,657,155,265000,499000,398122.5806451613,261566535.48387092,1.22
Introgadget,2230,6,65000,205000,115666.66666666669,257936666.6666667,1.2
SOVLO,1093,7,164700,293400,226457.14285714287,247517657.1428572,1.16
Apple aksesoris99,2113,28,55200,200000,110771.42857142857,234060028.57142857,1.09
Sushikumura,540,106,335000,485000,411462.2641509434,222189622.6415094,1.04
luxer,2635,23,50000,169000,80521.73913043478,212174782.6086957,0.99
iChat,980,13,75000,349900,214984.61538461535,210684923.07692307,0.98
Warehousegadget28,1519,7,60000,160000,136428.57142857142,207235000.0,0.97
ipadjakarta,2000,1,100000,100000,100000.0,200000000.0,0.93
Little Cozy Home,2107,12,65500,139000,93250.0,196477750.0,0.92
Civilian Store,539,8,350000,350000,350000.0,188650000.0,0.88
akuse,763,21,149000,499000,242547.61904761905,185063833.3333333,0.86
Lanalini,1197,183,65900,249900,151216.93989071038,181006677.04918036,0.84
KRUGEER,1547,9,72000,135000,113222.22222222222,175154777.77777776,0.82
Navy Shops,1750,3,50000,125000,91333.33333333331,159833333.3333333,0.75
HahaStore,1004,105,94000,299000,158235.2380952381,158868179.04761904,0.74
Supermall_ori,1673,6,57000,149000,95000.0,158935000.0,0.74
Real Star,1100,2,129000,149000,139000.0,152900000.0,0.71
Perfect Online Store,1174,5,80000,200000,128600.0,150976400.0,0.7
Saku Official,519,3,269100,299000,279066.6666666667,144835600.0,0.68
infinyshop,357,8,160000,480000,396250.0,141461250.0,0.66
Keka Store Id,2000,1,65000,65000,65000.0,130000000.0,0.61
UGREEN Serpong,1000,2,129000,129000,129000.0,129000000.0,0.6
Carbon Official Store,606,7,99000,499000,177714.2857142857,107694857.14285712,0.5
Forsakey Gadget Acc,681,39,90000,263000,153148.71794871794,104294276.92307691,0.49
GoodCase ID,583,127,90000,389000,176400.0,102841200.0,0.48
WiWU Official,350,5,199000,429000,295000.0,103250000.0,0.48
Eiger Adventure Official,300,2,269000,419000,344000.0,103200000.0,0.48
Severin Brand,500,1,188100,188100,188100.0,94050000.0,0.44
TOMTOC OFFICIAL STORE,180,3,496000,496000,496000.0,89280000.0,0.42
Cattlo Co.,690,12,99000,169000,128333.33333333331,88550000.0,0.41
Wolu Mart,1062,12,50000,159000,83566.66666666667,88747800.0,0.41
Rhodey Official Store,1261,7,52900,91700,63900.0,80577900.0,0.38
Hand2craft,750,1,109000,109000,109000.0,81750000.0,0.38
WiVE ID,250,1,308000,308000,308000.0,77000000.0,0.36
Rivacase Official Store,160,3,394370,524000,480790.0,76926400.0,0.36
milan shoping,1074,7,50000,120000,72714.28571428571,78095142.85714285,0.36
RBS PREMIUM STORE,890,5,74000,88000,81200.0,72268000.0,0.34
MAC COVER,402,6,155000,220000,180000.0,72360000.0,0.34
Fiorente Stuff,255,5,210000,390000,278000.0,70890000.0,0.33
Simplecasestore,162,4,360000,480000,432500.0,70065000.0,0.33
Sabi Online Store,1157,5,50227,65220,59809.4,69199475.8,0.32
Bruno Cavalli Official,500,1,125000,125000,125000.0,62500000.0,0.29
Evernext ID,500,1,125000,125000,125000.0,62500000.0,0.29
Rising.collection,500,1,125000,125000,125000.0,62500000.0,0.29
ambasadormac,569,39,65000,135000,101256.41025641024,57614897.43589743,0.27
SmartTeknologi Serpong Official,450,3,129000,129000,129000.0,58050000.0,0.27
